variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct
drop_one__target_month_weekend_days,test,wd1_5,20,4,12.067369010400181,12.272437043742952
drop_one__target_month_weekend_days,test,wd1_10,40,4,12.305929936838723,12.272437043742952
drop_one__target_month_weekend_days,test,jan_feb_wd1_10,20,2,10.460337482543327,10.370005238639973
drop_one__target_month_weekend_days,test,spring_wd1_10,10,1,4.925334499838664,4.881177986515908
drop_one__target_month_lunar_holiday_days,valid,overall,248,12,7.2558592191909845,6.3091660148338455
drop_one__target_month_lunar_holiday_days,valid,jan_feb,38,2,5.712701900116307,6.421609056804368
drop_one__target_month_lunar_holiday_days,valid,spring_festival_month,38,2,5.712701900116307,6.421609056804368
drop_one__target_month_lunar_holiday_days,valid,high_nonworkday_month,56,3,5.751252441727713,6.362625525184015
drop_one__target_month_lunar_holiday_days,valid,wd1_5,60,12,7.77468872056669,6.149833529027637
drop_one__target_month_lunar_holiday_days,valid,wd1_10,120,12,7.770069643525992,6.667443642094305
drop_one__target_month_lunar_holiday_days,valid,jan_feb_wd1_10,20,2,7.8419657902285,6.795832582041967
drop_one__target_month_lunar_holiday_days,valid,spring_wd1_10,20,2,7.8419657902285,6.795832582041967
drop_one__target_month_lunar_holiday_days,test,overall,80,4,13.164311878188991,11.656841318155628
drop_one__target_month_lunar_holiday_days,test,jan_feb,37,2,12.517482423608275,11.704898517442842
drop_one__target_month_lunar_holiday_days,test,spring_festival_month,16,1,9.691393230144246,9.463113757948543
drop_one__target_month_lunar_holiday_days,test,high_nonworkday_month,16,1,9.691393230144246,9.463113757948543
drop_one__target_month_lunar_holiday_days,test,wd1_5,20,4,13.03307557279538,12.230354381970706
drop_one__target_month_lunar_holiday_days,test,wd1_10,40,4,13.324422170254099,12.555573471102182
drop_one__target_month_lunar_holiday_days,test,jan_feb_wd1_10,20,2,12.452745035597927,12.555573471102182
drop_one__target_month_lunar_holiday_days,test,spring_wd1_10,10,1,9.097179945839565,9.134631046425742
drop_one__target_month_spring_festival_core_days,valid,overall,248,12,7.2616925799911565,6.432302116832887
drop_one__target_month_spring_festival_core_days,valid,jan_feb,38,2,5.726463836826375,6.443538969616459
drop_one__target_month_spring_festival_core_days,valid,spring_festival_month,38,2,5.726463836826375,6.443538969616459
drop_one__target_month_spring_festival_core_days,valid,high_nonworkday_month,56,3,5.663078786221699,6.434988289549526
drop_one__target_month_spring_festival_core_days,valid,wd1_5,60,12,7.704133029866337,6.300244694912514
drop_one__target_month_spring_festival_core_days,valid,wd1_10,120,12,7.729604371718771,6.594878660454231
