variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct,baseline_mean_mape_pct,mape_improvement_pct_point
single__target_month_weekend_days,test,spring_festival_month,16,1,8.72399158663297,8.8693018707202,10.714613015252883,1.9906214286199138
single__target_month_weekend_days,test,high_nonworkday_month,16,1,8.72399158663297,8.8693018707202,10.714613015252883,1.9906214286199138
single__target_month_weekend_days,test,wd1_5,20,4,14.381415508354001,13.547709457499792,15.361996498625825,0.9805809902718234
single__target_month_weekend_days,test,wd1_10,40,4,14.597497451143255,13.547709457499792,15.357152044390187,0.7596545932469319
single__target_month_weekend_days,test,jan_feb_wd1_10,20,2,11.915435674673137,12.12491401268063,13.710941647755709,1.7955059730825713
single__target_month_weekend_days,test,spring_wd1_10,10,1,8.687389274673395,8.877042632903542,10.53208971624915,1.844700441575755
single__target_month_lunar_holiday_days,valid,overall,248,12,7.2607682220230645,6.715599179935486,7.422426334882697,0.16165811285963283
single__target_month_lunar_holiday_days,valid,jan_feb,38,2,4.9037330898375044,3.1912641216180417,5.579106495134633,0.6753734052971287
single__target_month_lunar_holiday_days,valid,spring_festival_month,38,2,4.9037330898375044,3.1912641216180417,5.579106495134633,0.6753734052971287
single__target_month_lunar_holiday_days,valid,high_nonworkday_month,56,3,6.475919350454172,6.811978720415157,6.911400540892886,0.4354811904387139
single__target_month_lunar_holiday_days,valid,wd1_5,60,12,7.817053839711476,7.244264609062429,8.084677485972055,0.2676236462605788
single__target_month_lunar_holiday_days,valid,wd1_10,120,12,7.805443553566066,6.930757291195986,7.980121732260401,0.174678178694335
single__target_month_lunar_holiday_days,valid,jan_feb_wd1_10,20,2,6.594845474193798,3.550245379926917,7.077448985808353,0.4826035116145544
single__target_month_lunar_holiday_days,valid,spring_wd1_10,20,2,6.594845474193798,3.550245379926917,7.077448985808353,0.4826035116145544
single__target_month_lunar_holiday_days,test,overall,80,4,14.761650986865334,12.944469965876674,14.940562347198343,0.17891136033300903
single__target_month_lunar_holiday_days,test,jan_feb,37,2,13.001603950228112,12.355737547541764,13.47682153288237,0.47521758265425795
single__target_month_lunar_holiday_days,test,spring_festival_month,16,1,10.598135041694864,10.676712255901629,10.714613015252883,0.1164779735580197
single__target_month_lunar_holiday_days,test,high_nonworkday_month,16,1,10.598135041694864,10.676712255901629,10.714613015252883,0.1164779735580197
single__target_month_lunar_holiday_days,test,wd1_5,20,4,14.991635353114825,14.279762701888021,15.361996498625825,0.37036114551099963
single__target_month_lunar_holiday_days,test,wd1_10,40,4,15.0902871457718,14.279762701888021,15.357152044390187,0.2668648986183868
single__target_month_lunar_holiday_days,test,jan_feb_wd1_10,20,2,13.139145226649537,13.277279839643043,13.710941647755709,0.5717964211061712
single__target_month_lunar_holiday_days,test,spring_wd1_10,10,1,10.283988738710383,10.377890541144444,10.53208971624915,0.24810097753876725
single__target_month_spring_festival_core_days,valid,overall,248,12,7.25944820487003,6.715599179935486,7.422426334882697,0.16297813001266714
single__target_month_spring_festival_core_days,valid,jan_feb,38,2,4.912700213828952,3.2019819554337117,5.579106495134633,0.6664062813056812
single__target_month_spring_festival_core_days,valid,spring_festival_month,38,2,4.912700213828952,3.2019819554337117,5.579106495134633,0.6664062813056812
single__target_month_spring_festival_core_days,valid,high_nonworkday_month,56,3,6.461694903692743,6.7941245592367325,6.911400540892886,0.4497056372001422
single__target_month_spring_festival_core_days,valid,wd1_5,60,12,7.808945230004373,7.237548456617159,8.084677485972055,0.27573225596768136
single__target_month_spring_festival_core_days,valid,wd1_10,120,12,7.802426050388243,6.917324986305447,7.980121732260401,0.17769568187215778
single__target_month_spring_festival_core_days,valid,jan_feb_wd1_10,20,2,6.607329399968213,3.506047708283412,7.077448985808353,0.47011958584013946
single__target_month_spring_festival_core_days,valid,spring_wd1_10,20,2,6.607329399968213,3.506047708283412,7.077448985808353,0.47011958584013946
single__target_month_spring_festival_core_days,test,overall,80,4,14.76220370261031,12.952122783106653,14.940562347198343,0.17835864458803208
single__target_month_spring_festival_core_days,test,jan_feb,37,2,13.00017943728637,12.355737547541764,13.47682153288237,0.47664209559600046
single__target_month_spring_festival_core_days,test,spring_festival_month,16,1,10.584102200680407,10.6557576735519,10.714613015252883,0.13051081457247626
single__target_month_spring_festival_core_days,test,high_nonworkday_month,16,1,10.584102200680407,10.6557576735519,10.714613015252883,0.13051081457247626
single__target_month_spring_festival_core_days,test,wd1_5,20,4,14.99488229014555,14.279762701888021,15.361996498625825,0.3671142084802739
single__target_month_spring_festival_core_days,test,wd1_10,40,4,15.091289886037128,14.279762701888021,15.357152044390187,0.26586215835305893
single__target_month_spring_festival_core_days,test,jan_feb_wd1_10,20,2,13.136735752391408,13.290744605625763,13.710941647755709,0.574205895364301
single__target_month_spring_festival_core_days,test,spring_wd1_10,10,1,10.269918026027144,10.36741324996958,10.53208971624915,0.26217169022200615
single__target_month_spring_festival_days,valid,overall,248,12,7.3825707018233,6.715599179935486,7.422426334882697,0.0398556330593971
single__target_month_spring_festival_days,valid,jan_feb,38,2,5.716236509734505,3.888982658846941,5.579106495134633,-0.1371300145998715
single__target_month_spring_festival_days,valid,spring_festival_month,38,2,5.716236509734505,3.888982658846941,5.579106495134633,-0.1371300145998715
single__target_month_spring_festival_days,valid,high_nonworkday_month,56,3,6.461694903692743,6.7941245592367325,6.911400540892886,0.4497056372001422
single__target_month_spring_festival_days,valid,wd1_5,60,12,7.904038271650461,7.237548456617159,8.084677485972055,0.18063921432159358
single__target_month_spring_festival_days,valid,wd1_10,120,12,7.927024650685436,6.917324986305447,7.980121732260401,0.05309708157496562
single__target_month_spring_festival_days,valid,jan_feb_wd1_10,20,2,7.35492100175137,3.4250742126454297,7.077448985808353,-0.27747201594301707
single__target_month_spring_festival_days,valid,spring_wd1_10,20,2,7.35492100175137,3.4250742126454297,7.077448985808353,-0.27747201594301707
single__target_month_spring_festival_days,test,overall,80,4,14.76220370261031,12.952122783106653,14.940562347198343,0.17835864458803208
single__target_month_spring_festival_days,test,jan_feb,37,2,13.00017943728637,12.355737547541764,13.47682153288237,0.47664209559600046
single__target_month_spring_festival_days,test,spring_festival_month,16,1,10.584102200680407,10.6557576735519,10.714613015252883,0.13051081457247626
single__target_month_spring_festival_days,test,high_nonworkday_month,16,1,10.584102200680407,10.6557576735519,10.714613015252883,0.13051081457247626
single__target_month_spring_festival_days,test,wd1_5,20,4,14.99488229014555,14.279762701888021,15.361996498625825,0.3671142084802739
